totalScore is -390.530396, lmScore is -12.631194, amScore is -377.899200, result is sil sp 是 ,num 3 
totalScore is -408.757782, lmScore is -11.864360, amScore is -396.893433, result is sil sp 石头 ,num 3 
totalScore is -319.395416, lmScore is -17.637651, amScore is -301.757751, result is sil sp ,num 2 
totalScore is -228.408051, lmScore is -13.086735, amScore is -215.321320, result is sil sp 锤子 ,num 3 
totalScore is -236.901794, lmScore is -11.949480, amScore is -224.952316, result is sil sp 出 ,num 3 
totalScore is -273.787231, lmScore is -17.864361, amScore is -255.922867, result is sil sp 剪刀 ,num 3 
totalScore is -302.746826, lmScore is -11.963236, amScore is -290.783600, result is sil sp 你 ,num 3 
totalScore is -383.040466, lmScore is -18.033218, amScore is -365.007233, result is sil sp  ,num 3 
totalScore is -491.704712, lmScore is -12.681551, amScore is -479.023163, result is sil sp 了 ,num 3 
totalScore is -290.719574, lmScore is -12.687618, amScore is -278.031952, result is sil sp 的 ,num 3 
totalScore is -198.517822, lmScore is -19.058899, amScore is -179.458923, result is sil sp 平 ,num 3 
totalScore is -272.603638, lmScore is -13.087712, amScore is -259.515930, result is sil sp 布 ,num 3 
totalScore is -390.517334, lmScore is -12.631194, amScore is -377.886139, result is sil sp 是 ,num 3 
totalScore is -408.744781, lmScore is -11.864360, amScore is -396.880432, result is sil sp 石头 ,num 3 
totalScore is -319.382385, lmScore is -17.637651, amScore is -301.744720, result is sil sp ,num 2 
totalScore is -228.395004, lmScore is -13.086735, amScore is -215.308273, result is sil sp 锤子 ,num 3 
totalScore is -236.888763, lmScore is -11.949480, amScore is -224.939285, result is sil sp 出 ,num 3 
totalScore is -273.774170, lmScore is -17.864361, amScore is -255.909821, result is sil sp 剪刀 ,num 3 
totalScore is -302.733765, lmScore is -11.963236, amScore is -290.770538, result is sil sp 你 ,num 3 
totalScore is -383.027405, lmScore is -18.033218, amScore is -364.994171, result is sil sp  ,num 3 
totalScore is -491.691650, lmScore is -12.681551, amScore is -479.010101, result is sil sp 了 ,num 3 
totalScore is -290.706543, lmScore is -12.687618, amScore is -278.018921, result is sil sp 的 ,num 3 
totalScore is -198.504776, lmScore is -19.058899, amScore is -179.445877, result is sil sp 平 ,num 3 
totalScore is -272.590576, lmScore is -13.087712, amScore is -259.502869, result is sil sp 布 ,num 3 
totalScore is -382.446045, lmScore is -9.197600, amScore is -373.248444, result is sp 是 ,num 2 
totalScore is -400.687531, lmScore is -8.430766, amScore is -392.256775, result is sp 石头 ,num 2 
totalScore is -311.482422, lmScore is -14.204058, amScore is -297.278351, result is sp ,num 1 
totalScore is -220.113541, lmScore is -9.653141, amScore is -210.460403, result is sp 锤子 ,num 2 
totalScore is -228.615265, lmScore is -8.515886, amScore is -220.099380, result is sp 出 ,num 2 
totalScore is -265.520721, lmScore is -14.430766, amScore is -251.089951, result is sp 剪刀 ,num 2 
totalScore is -294.732605, lmScore is -8.529642, amScore is -286.202972, result is sp 你 ,num 2 
totalScore is -375.187988, lmScore is -14.599625, amScore is -360.588379, result is sp  ,num 2 
totalScore is -483.893127, lmScore is -9.247957, amScore is -474.645172, result is sp 了 ,num 2 
totalScore is -282.558472, lmScore is -9.254025, amScore is -273.304443, result is sp 的 ,num 2 
totalScore is -190.200546, lmScore is -15.625305, amScore is -174.575241, result is sp 平 ,num 2 
totalScore is -391.038574, lmScore is -12.631194, amScore is -378.407379, result is sil sp 是 ,num 3 
totalScore is -409.376617, lmScore is -11.864360, amScore is -397.512268, result is sil sp 石头 ,num 3 
totalScore is -319.735382, lmScore is -17.637651, amScore is -302.097717, result is sil sp ,num 2 
totalScore is -228.391174, lmScore is -13.086735, amScore is -215.304443, result is sil sp 锤子 ,num 3 
totalScore is -236.962280, lmScore is -11.949480, amScore is -225.012802, result is sil sp 出 ,num 3 
totalScore is -274.308990, lmScore is -17.864361, amScore is -256.444641, result is sil sp 剪刀 ,num 3 
totalScore is -303.257843, lmScore is -11.963236, amScore is -291.294617, result is sil sp 你 ,num 3 
totalScore is -383.172241, lmScore is -18.033218, amScore is -365.139008, result is sil sp  ,num 3 
totalScore is -492.366577, lmScore is -12.681551, amScore is -479.685028, result is sil sp 了 ,num 3 
totalScore is -291.133453, lmScore is -12.687618, amScore is -278.445831, result is sil sp 的 ,num 3 
totalScore is -198.522064, lmScore is -19.058899, amScore is -179.463165, result is sil sp 平 ,num 3 
totalScore is -272.847931, lmScore is -13.087712, amScore is -259.760223, result is sil sp 布 ,num 3 
totalScore is -382.967255, lmScore is -9.197600, amScore is -373.769653, result is sp 是 ,num 2 
totalScore is -401.319427, lmScore is -8.430766, amScore is -392.888672, result is sp 石头 ,num 2 
totalScore is -311.835419, lmScore is -14.204058, amScore is -297.631348, result is sp ,num 1 
totalScore is -220.109726, lmScore is -9.653141, amScore is -210.456589, result is sp 锤子 ,num 2 
totalScore is -228.688782, lmScore is -8.515886, amScore is -220.172897, result is sp 出 ,num 2 
totalScore is -266.055511, lmScore is -14.430766, amScore is -251.624756, result is sp 剪刀 ,num 2 
totalScore is -295.256683, lmScore is -8.529642, amScore is -286.727051, result is sp 你 ,num 2 
