totalScore is -20.000000, lmScore is -20.000000, amScore is -215.174133, result is sp 布 sp ,num 3 wordListId is 307 
totalScore is -3.449382, lmScore is -2.560828, amScore is -296.184784, result is sp 布 石头 ,num 3 wordListId is 353 
totalScore is -3.448106, lmScore is -2.646924, amScore is -267.060577, result is sp 布 出 ,num 3 wordListId is 351 
totalScore is -3.573328, lmScore is -2.659703, amScore is -304.541718, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.494919, lmScore is -2.659703, amScore is -278.405365, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.470140, lmScore is -2.646924, amScore is -274.405487, result is sp 布 出 ,num 3 wordListId is 73 
totalScore is -3.521923, lmScore is -2.560828, amScore is -320.365021, result is sp 布 石头 ,num 3 wordListId is 76 
totalScore is -3.953551, lmScore is -2.560828, amScore is -464.240967, result is sp 布 石头 ,num 3 wordListId is 334 
totalScore is -3.639408, lmScore is -2.646924, amScore is -330.827850, result is sp 布 出 ,num 3 wordListId is 332 
totalScore is -3.711040, lmScore is -2.659703, amScore is -350.445770, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.493683, lmScore is -2.659703, amScore is -277.993164, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.468878, lmScore is -2.646924, amScore is -273.984619, result is sp 布 出  ,num 4 wordListId is 186 
totalScore is -3.520386, lmScore is -2.560828, amScore is -319.852844, result is sp 布 石头 ,num 3 wordListId is 270 
totalScore is -3.953809, lmScore is -2.560828, amScore is -464.327026, result is sp 布 石头 ,num 3 wordListId is 134 
totalScore is -3.639968, lmScore is -2.646924, amScore is -331.014740, result is sp 布 出 ,num 3 wordListId is 124 
totalScore is -3.711420, lmScore is -2.659703, amScore is -350.572113, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.959212, lmScore is -2.560828, amScore is -466.128021, result is sp 布 石头 ,num 3 wordListId is 27 
totalScore is -3.644850, lmScore is -2.646924, amScore is -332.641907, result is sp 布 出 ,num 3 wordListId is 22 
totalScore is -3.716210, lmScore is -2.659703, amScore is -352.168915, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.959470, lmScore is -2.560828, amScore is -466.214081, result is sp 布 石头 ,num 3 wordListId is 262 
totalScore is -3.645410, lmScore is -2.646924, amScore is -332.828796, result is sp 布 出 ,num 3 wordListId is 248 
totalScore is -3.716589, lmScore is -2.659703, amScore is -352.295288, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.961006, lmScore is -2.560828, amScore is -466.726257, result is sp 布 石头 ,num 3 wordListId is 385 
totalScore is -3.646673, lmScore is -2.646924, amScore is -333.249664, result is sp 布 出 ,num 3 wordListId is 379 
totalScore is -3.717826, lmScore is -2.659703, amScore is -352.707550, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.492452, lmScore is -2.659703, amScore is -277.582825, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.467601, lmScore is -2.646924, amScore is -273.559021, result is sp 布 出 ,num 3 wordListId is 24 
totalScore is -3.518841, lmScore is -2.560828, amScore is -319.337677, result is sp 布 石头 ,num 3 wordListId is 26 
totalScore is -3.954064, lmScore is -2.560828, amScore is -464.411987, result is sp 布 石头 ,num 3 wordListId is 328 
totalScore is -3.640524, lmScore is -2.646924, amScore is -331.199951, result is sp 布 出 ,num 3 wordListId is 326 
totalScore is -3.711823, lmScore is -2.659703, amScore is -350.706635, result is sp 布 你 ,num 3 wordListId is 152 
totalScore is -3.958246, lmScore is -2.560828, amScore is -465.806213, result is sp 布 石头 ,num 3 wordListId is 370 
totalScore is -3.643551, lmScore is -2.646924, amScore is -332.209015, result is sp 布 出 ,num 3 wordListId is 368 
totalScore is -3.715958, lmScore is -2.659703, amScore is -352.084900, result is sp 布 你 ,num 3 wordListId is 152 
